material	no.	type of sound change	specific point of sound change	symbol	katakana	explanation	sound *drive	text	Japanese
First Step	1	Linking	name is	/neɪmɪz/	ﾈｲﾐｽﾞ	mとiが繋がり「ﾈｲﾐｽﾞ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	years old	/jɪərz oʊld/	ｲｱｰｽﾞｵｰﾙﾄﾞ	sとoが繋がり「ｲｱｰｽﾞｵｰﾙﾄﾞ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	have a	/hævə/	ﾊｳﾞｧ	vとaが繋がり「ﾊｳﾞｧ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	cat is	/kætɪz/	ｷｬｯﾃｨｽﾞ	tとiが繋がり「ｷｬｯﾃｨｽﾞ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	black and	/blækən/	ﾌﾞﾗｯｶﾝ	kとaが繋がり、dが脱落して「ﾌﾞﾗｯｶﾝ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	paws are	/pɔːzɑːr/	ﾊﾟｰｽﾞｧｰ	sとaが繋がり「ﾊﾟｰｽﾞｧｰ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	body is	/bɑːdiɪz/	ﾊﾞﾃﾞｨｲｽﾞ	yとiが繋がり「ﾊﾞﾃﾞｨｲｽﾞ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	She is	/ʃiːɪz/	ｼｰｲｽﾞ	eとiが繋がり「ｼｰｲｽﾞ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Linking	was a	/wəzə/	ﾜｽﾞｧ	zとaが繋がり「ﾜｽﾞｧ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
First Step	1	Reduction	and white	/ən waɪt/	ｱﾝﾜｲﾄ	dが消失し「ｱﾝﾜｲﾄ」になります。		My first pet. My name is Sarah. I am 14 years old. I have a pet cat. My cat's name is Milo. My cat is black and white.  Milo's paws are white.  Milo's body is black. She is very cute. Milo's fur is very soft. Milo was a very small kitten.	My first pet. / 私の初めてのペット。 My name is Sarah. / 私の名前はサラです。 I am 14 years old. / 私は14歳です。 I have a pet cat. / 私はペットの猫を飼っています。 My cat's name is Milo. / 私の猫の名前はマイロです。 My cat is black and white. / 私の猫は白黒の模様です。 Milo's paws are white. / マイロの足先は白です。 Milo's body is black. / マイロの体は黒です。 She is very cute. / 彼女はとてもかわいいです。 Milo's fur is very soft. / マイロの毛はとても柔らかいです。 Milo was a very small kitten. / マイロはとても小さな子猫でした。
